,FPR,FNR,TPR,"min(FPR,FNR)",min_constant,max_constant
104,0.037053704,0.5543333,0.44566667,0.037053704,-0.49998772,-0.4999876
105,0.037064813,0.5543,0.4457,0.037064813,-0.4999876,-0.49998748
106,0.03708333,0.5542833,0.44571668,0.03708333,-0.49998748,-0.49998736
107,0.037096296,0.55425,0.44575,0.037096296,-0.49998736,-0.49998724
108,0.037098147,0.5541667,0.44583333,0.037098147,-0.49998724,-0.49998713
109,0.03711111,0.5541,0.44590002,0.03711111,-0.49998713,-0.499987
110,0.03712963,0.55403334,0.44596666,0.03712963,-0.499987,-0.4999869
111,0.037144445,0.55398333,0.44601667,0.037144445,-0.4999869,-0.49998677
112,0.03715185,0.5539333,0.44606668,0.03715185,-0.49998677,-0.49998665
113,0.03716111,0.5538667,0.44613332,0.03716111,-0.49998665,-0.49998653
114,0.03717963,0.55385,0.44615,0.03717963,-0.49998653,-0.4999864
115,0.037194446,0.5538333,0.4461667,0.037194446,-0.4999864,-0.4999863
116,0.037203703,0.55378336,0.44621664,0.037203703,-0.4999863,-0.49998617
117,0.037216667,0.55375,0.44625002,0.037216667,-0.49998617,-0.49998605
118,0.037231483,0.55373335,0.44626665,0.037231483,-0.49998605,-0.49998593
119,0.03723889,0.55371666,0.44628334,0.03723889,-0.49998593,-0.4999858
120,0.03724259,0.55371666,0.44628334,0.03724259,-0.4999858,-0.4999857
121,0.037251852,0.55361664,0.44638336,0.037251852,-0.4999857,-0.49998558
122,0.037264816,0.55355,0.44645,0.037264816,-0.49998558,-0.49998546
123,0.037272222,0.5535167,0.4464833,0.037272222,-0.49998546,-0.49998534
124,0.037285186,0.5534667,0.44653332,0.037285186,-0.49998534,-0.49998522
125,0.0373,0.55343336,0.44656664,0.0373,-0.49998522,-0.4999851
126,0.037316665,0.5534,0.44660002,0.037316665,-0.4999851,-0.49998498
127,0.037324075,0.55338335,0.44661665,0.037324075,-0.49998498,-0.49998486
128,0.03734074,0.55335,0.44665003,0.03734074,-0.49998486,-0.49998474
129,0.037346296,0.55333334,0.44666666,0.037346296,-0.49998474,-0.49998462
130,0.03735926,0.5532333,0.44676667,0.03735926,-0.49998462,-0.4999845
131,0.037366666,0.5532167,0.4467833,0.037366666,-0.4999845,-0.49998438
132,0.03737778,0.5531833,0.44681668,0.03737778,-0.49998438,-0.49998426
133,0.037383333,0.5531333,0.4468667,0.037383333,-0.49998426,-0.49998415
134,0.0374,0.5531,0.4469,0.0374,-0.49998415,-0.49998403
135,0.037407406,0.5530667,0.44693333,0.037407406,-0.49998403,-0.4999839
136,0.03742037,0.5530667,0.44693333,0.03742037,-0.4999839,-0.4999838
137,0.037431482,0.553,0.44700003,0.037431482,-0.4999838,-0.49998367
138,0.037444446,0.55291665,0.44708335,0.037444446,-0.49998367,-0.49998355
139,0.037453704,0.55286664,0.44713336,0.037453704,-0.49998355,-0.49998343
140,0.037466668,0.5528,0.4472,0.037466668,-0.49998343,-0.4999833
141,0.037479628,0.55275,0.44725,0.037479628,-0.4999833,-0.4999832
142,0.037498146,0.55273336,0.44726664,0.037498146,-0.4999832,-0.49998307
143,0.037507407,0.5527167,0.44728333,0.037507407,-0.49998307,-0.49998295
144,0.037524074,0.5527,0.44730002,0.037524074,-0.49998295,-0.49998283
145,0.03755,0.55266666,0.44733334,0.03755,-0.49998283,-0.4999827
146,0.03755741,0.55261666,0.44738334,0.03755741,-0.4999827,-0.4999826
147,0.037562963,0.55256665,0.44743335,0.037562963,-0.4999826,-0.49998248
148,0.037572224,0.55255,0.44744998,0.037572224,-0.49998248,-0.49998236
149,0.03757963,0.55255,0.44744998,0.03757963,-0.49998236,-0.49998224
150,0.037590742,0.5525333,0.44746667,0.037590742,-0.49998224,-0.49998212
151,0.0376,0.5525,0.4475,0.0376,-0.49998212,-0.499982
152,0.037618518,0.5524667,0.4475333,0.037618518,-0.499982,-0.49998188
153,0.03762963,0.55245,0.44755,0.03762963,-0.49998188,-0.49998176
154,0.037638888,0.5524,0.4476,0.037638888,-0.49998176,-0.49998164
155,0.03764815,0.55233335,0.44766665,0.03764815,-0.49998164,-0.49998152
156,0.037655555,0.55226666,0.44773334,0.037655555,-0.49998152,-0.4999814
157,0.037666667,0.55225,0.44774997,0.037666667,-0.4999814,-0.49998128
158,0.03767222,0.5522,0.44779998,0.03767222,-0.49998128,-0.49998116
159,0.037687037,0.5521333,0.44786668,0.037687037,-0.49998116,-0.49998105
160,0.03769815,0.5521,0.4479,0.03769815,-0.49998105,-0.49998093
161,0.037705556,0.5520833,0.4479167,0.037705556,-0.49998093,-0.4999808
162,0.037714817,0.55205,0.44795,0.037714817,-0.4999808,-0.4999807
163,0.03771852,0.552,0.448,0.03771852,-0.4999807,-0.49998057
164,0.037724074,0.55193335,0.44806665,0.037724074,-0.49998057,-0.49998045
165,0.037735187,0.55191666,0.44808334,0.037735187,-0.49998045,-0.49998033
166,0.037744444,0.55191666,0.44808334,0.037744444,-0.49998033,-0.4999802
167,0.037751853,0.5519,0.44809997,0.037751853,-0.4999802,-0.4999801
168,0.037757408,0.55188334,0.44811666,0.037757408,-0.4999801,-0.49997997
169,0.037768517,0.55188334,0.44811666,0.037768517,-0.49997997,-0.49997985
170,0.037777778,0.55186665,0.44813335,0.037777778,-0.49997985,-0.49997973
171,0.03777963,0.55186665,0.44813335,0.03777963,-0.49997973,-0.49997962
172,0.037783332,0.55181664,0.44818336,0.037783332,-0.49997962,-0.4999795
173,0.037792593,0.5518,0.4482,0.037792593,-0.4999795,-0.49997938
174,0.037805557,0.5517667,0.4482333,0.037805557,-0.49997938,-0.49997926
175,0.037816666,0.5517333,0.44826669,0.037816666,-0.49997926,-0.49997914
176,0.03782778,0.5517,0.4483,0.03782778,-0.49997914,-0.49997902
177,0.037833333,0.5516667,0.44833332,0.037833333,-0.49997902,-0.4999789
178,0.037844446,0.55163336,0.44836664,0.037844446,-0.4999789,-0.49997878
179,0.03785185,0.5516,0.44840002,0.03785185,-0.49997878,-0.49997866
180,0.037853703,0.55158335,0.44841665,0.037853703,-0.49997866,-0.49997854
181,0.037855554,0.55153334,0.44846666,0.037855554,-0.49997854,-0.49997842
182,0.037861113,0.55148333,0.44851667,0.037861113,-0.49997842,-0.4999783
183,0.03787037,0.55146664,0.44853336,0.03787037,-0.4999783,-0.49997818
184,0.037883334,0.5514,0.4486,0.037883334,-0.49997818,-0.49997807
185,0.037894443,0.5514,0.4486,0.037894443,-0.49997807,-0.49997795
186,0.037901852,0.5513833,0.44861668,0.037901852,-0.49997795,-0.49997783
187,0.037907407,0.55135,0.44865,0.037907407,-0.49997783,-0.4999777
188,0.037914816,0.5513167,0.44868332,0.037914816,-0.4999777,-0.4999776
189,0.037922222,0.5513,0.4487,0.037922222,-0.4999776,-0.49997747
190,0.037927777,0.5512667,0.44873333,0.037927777,-0.49997747,-0.49997735
191,0.037935186,0.55125,0.44875002,0.037935186,-0.49997735,-0.49997723
192,0.03793889,0.5512,0.44880003,0.03793889,-0.49997723,-0.499977
193,0.037946295,0.5512,0.44880003,0.037946295,-0.499977,-0.49997687
194,0.037955556,0.55118334,0.44881666,0.037955556,-0.49997687,-0.49997675
195,0.037964813,0.55115,0.44884998,0.037964813,-0.49997675,-0.49997663
196,0.037974074,0.55113333,0.44886667,0.037974074,-0.49997663,-0.49997652
197,0.037985187,0.5510833,0.44891667,0.037985187,-0.49997652,-0.4999764
198,0.037992593,0.55105,0.44895,0.037992593,-0.4999764,-0.49997628
199,0.038003705,0.5510167,0.4489833,0.038003705,-0.49997628,-0.49997616
200,0.03801111,0.551,0.449,0.03801111,-0.49997616,-0.49997604
201,0.038012963,0.5509667,0.44903332,0.038012963,-0.49997604,-0.49997592
202,0.038018517,0.5509667,0.44903332,0.038018517,-0.49997592,-0.4999758
203,0.038033333,0.55095,0.44905,0.038033333,-0.4999758,-0.49997568
204,0.038040742,0.55093336,0.44906664,0.038040742,-0.49997568,-0.49997556
205,0.03805,0.5509,0.44910002,0.03805,-0.49997556,-0.49997544
206,0.03805185,0.55083334,0.44916666,0.03805185,-0.49997544,-0.49997532
207,0.038061112,0.55083334,0.44916666,0.038061112,-0.49997532,-0.4999752
208,0.038066667,0.5508,0.44919997,0.038066667,-0.4999752,-0.4999751
209,0.038074072,0.55078334,0.44921666,0.038074072,-0.4999751,-0.49997497
210,0.038085185,0.55075,0.44924998,0.038085185,-0.49997497,-0.49997485
211,0.03809259,0.5507333,0.44926667,0.03809259,-0.49997485,-0.49997473
212,0.0381,0.5507,0.4493,0.0381,-0.49997473,-0.4999746
213,0.038107406,0.5506667,0.4493333,0.038107406,-0.4999746,-0.4999745
214,0.038124073,0.5506667,0.4493333,0.038124073,-0.4999745,-0.49997437
215,0.038135186,0.55065,0.44935,0.038135186,-0.49997437,-0.49997425
216,0.03814259,0.55065,0.44935,0.03814259,-0.49997425,-0.49997413
217,0.03814815,0.55065,0.44935,0.03814815,-0.49997413,-0.499974
218,0.038151853,0.55065,0.44935,0.038151853,-0.499974,-0.4999739
219,0.03816296,0.55065,0.44935,0.03816296,-0.4999739,-0.49997377
220,0.03817037,0.5506333,0.4493667,0.03817037,-0.49997377,-0.49997365
221,0.038174074,0.5506,0.4494,0.038174074,-0.49997365,-0.49997354
222,0.03818148,0.55058336,0.44941664,0.03818148,-0.49997354,-0.49997342
223,0.03818333,0.55058336,0.44941664,0.03818333,-0.49997342,-0.4999733
224,0.038192593,0.55055,0.44945002,0.038192593,-0.4999733,-0.49997318
225,0.0382,0.55051666,0.44948334,0.0382,-0.49997318,-0.49997306
226,0.038203705,0.5505,0.44950002,0.038203705,-0.49997306,-0.49997294
227,0.03820926,0.5505,0.44950002,0.03820926,-0.49997294,-0.49997282
228,0.038218517,0.55046666,0.44953334,0.038218517,-0.49997282,-0.4999727
229,0.038225926,0.55046666,0.44953334,0.038225926,-0.4999727,-0.49997258
230,0.03822963,0.55045,0.44954997,0.03822963,-0.49997258,-0.49997246
231,0.038233332,0.55041665,0.44958335,0.038233332,-0.49997246,-0.49997234
232,0.038240742,0.5504,0.44959998,0.038240742,-0.49997234,-0.49997222
233,0.038246296,0.5503333,0.44966668,0.038246296,-0.49997222,-0.4999721
234,0.038253702,0.5503333,0.44966668,0.038253702,-0.4999721,-0.499972
235,0.03825741,0.5503,0.4497,0.03825741,-0.499972,-0.49997187
236,0.038266666,0.5503,0.4497,0.038266666,-0.49997187,-0.49997175
237,0.03827222,0.55025,0.44975,0.03827222,-0.49997175,-0.49997163
238,0.03827963,0.55025,0.44975,0.03827963,-0.49997163,-0.4999715
239,0.038283333,0.55025,0.44975,0.038283333,-0.4999715,-0.4999714
240,0.038288888,0.55025,0.44975,0.038288888,-0.4999714,-0.49997127
241,0.0383,0.55018336,0.44981664,0.0383,-0.49997127,-0.49997115
242,0.038305555,0.55013335,0.44986665,0.038305555,-0.49997115,-0.49997103
243,0.038312964,0.5501,0.44989997,0.038312964,-0.49997103,-0.4999709
244,0.038316667,0.55008334,0.44991666,0.038316667,-0.4999709,-0.4999708
245,0.03832037,0.55006665,0.44993335,0.03832037,-0.4999708,-0.49997067
246,0.03832778,0.55005,0.44994998,0.03832778,-0.49997067,-0.49997056
247,0.038333334,0.55003333,0.44996667,0.038333334,-0.49997056,-0.49997044
248,0.038333334,0.5499833,0.45001668,0.038333334,-0.49997044,-0.49997032
249,0.03833889,0.54995,0.45005,0.03833889,-0.49997032,-0.4999702
250,0.03834815,0.5499333,0.4500667,0.03834815,-0.4999702,-0.49997008
251,0.038351852,0.5499167,0.45008332,0.038351852,-0.49997008,-0.49996996
252,0.038353704,0.5499167,0.45008332,0.038353704,-0.49996996,-0.49996984
253,0.038364816,0.5499167,0.45008332,0.038364816,-0.49996984,-0.49996972
254,0.03837037,0.5499167,0.45008332,0.03837037,-0.49996972,-0.4999696
255,0.038377777,0.5499,0.4501,0.038377777,-0.4999696,-0.49996948
256,0.03838148,0.5498833,0.4501167,0.03838148,-0.49996948,-0.49996936
257,0.038387038,0.5498833,0.4501167,0.038387038,-0.49996936,-0.49996924
258,0.038392592,0.5498667,0.45013332,0.038392592,-0.49996924,-0.49996912
259,0.038401853,0.5498667,0.45013332,0.038401853,-0.49996912,-0.499969
260,0.038405556,0.54983336,0.45016664,0.038405556,-0.499969,-0.4999689
