,FPR,FNR,TPR,"min(FPR,FNR)",min_constant,max_constant
96,0.07048889,0.9454167,0.05458331,0.07048889,-0.49998868,-0.49998856
97,0.07052037,0.9453667,0.05463332,0.07052037,-0.49998856,-0.49998844
98,0.0705426,0.94533336,0.05466664,0.0705426,-0.49998844,-0.49998832
99,0.070564814,0.94533336,0.05466664,0.070564814,-0.49998832,-0.4999882
100,0.07059259,0.9453,0.054700017,0.07059259,-0.4999882,-0.49998808
101,0.07061852,0.94525,0.054750025,0.07061852,-0.49998808,-0.49998796
102,0.07063889,0.9452,0.054799974,0.07063889,-0.49998796,-0.49998784
103,0.07066296,0.94516665,0.054833353,0.07066296,-0.49998784,-0.49998772
104,0.07067963,0.9451,0.05489999,0.07067963,-0.49998772,-0.4999876
105,0.07070185,0.9450833,0.05491668,0.07070185,-0.4999876,-0.49998748
106,0.07071852,0.9450667,0.05493331,0.07071852,-0.49998748,-0.49998736
107,0.07073333,0.9450333,0.05496669,0.07073333,-0.49998736,-0.49998724
108,0.07076482,0.9450167,0.054983318,0.07076482,-0.49998724,-0.49998713
109,0.0708,0.945,0.055000007,0.0708,-0.49998713,-0.499987
110,0.070827775,0.9449667,0.055033326,0.070827775,-0.499987,-0.4999869
111,0.07085556,0.94491667,0.055083334,0.07085556,-0.4999869,-0.49998677
112,0.07086852,0.9449,0.055100024,0.07086852,-0.49998677,-0.49998665
113,0.070892595,0.94486666,0.055133343,0.070892595,-0.49998665,-0.49998653
114,0.07090926,0.94483334,0.05516666,0.07090926,-0.49998653,-0.4999864
115,0.07092963,0.94478333,0.05521667,0.07092963,-0.4999864,-0.4999863
116,0.07095,0.9447167,0.055283308,0.07095,-0.4999863,-0.49998617
117,0.07097037,0.9447,0.055299997,0.07097037,-0.49998617,-0.49998605
118,0.07098518,0.94465,0.055350006,0.07098518,-0.49998605,-0.49998593
119,0.07099074,0.9446333,0.055366695,0.07099074,-0.49998593,-0.4999858
120,0.07101667,0.9446333,0.055366695,0.07101667,-0.4999858,-0.4999857
121,0.07102963,0.9446167,0.055383325,0.07102963,-0.4999857,-0.49998558
122,0.07105741,0.9446167,0.055383325,0.07105741,-0.49998558,-0.49998546
123,0.07107222,0.9446167,0.055383325,0.07107222,-0.49998546,-0.49998534
124,0.07108148,0.9446,0.055400014,0.07108148,-0.49998534,-0.49998522
125,0.07109629,0.94458336,0.055416644,0.07109629,-0.49998522,-0.4999851
126,0.07110741,0.94455,0.055450022,0.07110741,-0.4999851,-0.49998498
127,0.07112408,0.94453335,0.055466652,0.07112408,-0.49998498,-0.49998486
128,0.071135186,0.9445,0.05549997,0.071135186,-0.49998486,-0.49998474
129,0.07115185,0.9445,0.05549997,0.07115185,-0.49998474,-0.49998462
130,0.07116852,0.9445,0.05549997,0.07116852,-0.49998462,-0.4999845
131,0.07119445,0.94448334,0.05551666,0.07119445,-0.4999845,-0.49998438
